week_number,year,week,revenue,quantity,month,month_revenue,150_r,50_r,500_r,150_q,50_q,500_q,distribution,prescribes,disease_rate,price_index,generics_avg,generics_brands,total_video_rating,total_video_money,total_video_coverage_5,digital_money,radio_money,radio_times,wordstat,timestamp,competitors_rating,competitors_coverage,competitors_money,competitors_digital,competitors_total,competitors_tv_reg
0,2019,1,41535567.338999964,114621.15000000001,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9210697674418645,99698.59543269231,508956.0,1.5413203366010262,0.0,0.0,0.0,0.0,0.0,1057612.5,0.0,0.0,76854.75,1546214400,986.75427305385,70.8225,0.0,3260939.0625,37413063.79040323,12576576.94548387
1,2019,2,51222286.227000006,141523.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9210697674418645,99698.59543269231,804825.0,1.5413203366010262,0.0,0.0,7.2956247,5728287.707303227,0.0,844452.0,0.0,0.0,89113.5,1546819200,946.7816674470002,74.256,0.0,3958258.5,43802404.0158871,14672673.103064518
2,2019,3,57127348.90799998,157926.30000000002,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9210697674418645,99698.59543269231,993384.0,1.5413203366010262,0.0,0.0,404.32405524000006,6683002.325187098,32.802,1235682.0,0.0,0.0,96066.6,1547424000,720.02357413245,50.504999999999995,0.0,2183139.0,48064228.75766129,14672673.103064518
3,2019,4,63040990.93950002,173746.65,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9210697674418645,99698.59543269231,1186542.0,1.5413203366010262,0.0,0.0,310.83986745,6683002.325187098,25.557000000000002,538272.0,0.0,0.0,99189.3,1548028800,473.03327839215007,30.6915,0.0,1394725.5,35201926.77411291,14672673.103064518
4,2019,5,67336888.86750002,185551.80000000002,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9210697674418645,99698.59543269231,1454817.0,1.5413203366010262,0.0,0.0,319.54648485900003,6683002.325187098,26.785500000000003,0.0,0.0,0.0,108418.8,1548633600,962.5706391650999,76.755,0.0,1664995.5,53939709.21156049,15884684.401572581
5,2019,6,70424479.9545,193607.4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9098372093023297,99698.59543269231,1500807.0,1.5413203366010262,0.0,0.0,848.9115248775,11519333.269635485,53.6655,0.0,0.0,0.0,129483.90000000001,1549238400,1018.56412383705,76.4715,0.0,687067.5,69535872.139125,17500699.466249995
6,2019,7,68621184.93300007,188331.15,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9098372093023297,99698.59543269231,1468614.0,1.5413203366010262,0.0,0.0,469.18086488700004,17967774.528900005,34.7025,63000.0,0.0,0.0,109235.70000000001,1549843200,1106.8732786807502,81.36449999999999,0.0,1555223.25,70404027.889125,17500699.466249995
7,2019,8,61742982.70350003,169383.9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9098372093023297,99698.59543269231,1315314.0,1.5413203366010262,0.0,0.0,358.87127476620003,17967774.528900005,28.276500000000002,136426.5,0.0,0.0,102687.90000000001,1550448000,943.23658269855,67.137,0.0,3636192.0,92730937.07759275,17500699.466249995
8,2019,9,61669241.686500005,170056.95,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9098372093023297,99698.59543269231,1266258.0,1.5413203366010262,0.0,0.0,350.35830103680007,17967774.528900005,28.738500000000002,42000.0,0.0,0.0,99621.90000000001,1551052800,505.95393710610006,40.456500000000005,0.0,2714423.25,40346575.984016135,19167029.718870968
9,2019,10,54711731.21400006,149804.55000000002,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.876139534883725,99698.59543269231,1013313.0,1.5239395916876275,0.0,0.0,373.64199923190006,16611117.891154839,31.332,0.0,0.0,0.0,87930.15000000001,1551657600,771.4450797952499,59.934,0.0,0.0,43728104.21395162,21388803.38903226
10,2019,11,60370834.18800002,165438.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.876139534883725,99698.59543269231,1093029.0,1.5239395916876275,0.0,0.0,408.23867164499995,14802242.374161288,34.30350000000001,0.0,0.0,0.0,97121.85,1552262400,848.5399213231501,66.6645,0.0,0.0,43584816.314854845,21388803.38903226
11,2019,12,57711047.93999998,158080.65,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.876139534883725,99698.59543269231,1002582.0,1.5239395916876275,0.0,0.0,346.31905255080005,14802242.374161288,27.4365,0.0,0.0,0.0,91487.55,1552867200,593.52240433815,40.845,0.0,0.0,43584816.314854845,21388803.38903226
12,2019,13,54984651.26700004,150174.15,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.876139534883725,99698.59543269231,881475.0,1.5239395916876275,0.0,0.0,468.5516987340002,14802242.374161288,35.910000000000004,0.0,0.0,0.0,91848.75,1553472000,513.6298407198,34.7445,0.0,0.0,43584816.314854845,21388803.38903226
13,2019,14,53957100.97050005,147819.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9884651162790743,99698.59543269231,827820.0,1.510945557962319,0.0,0.0,415.8343768319999,14802242.374161288,33.4005,0.0,0.0,0.0,89722.5,1554076800,264.46679335860006,18.994500000000002,0.0,458062.5,17136254.345349994,12364818.943749998
14,2019,15,54465673.57350004,150299.1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9884651162790743,99698.59543269231,804825.0,1.510945557962319,0.0,0.0,331.059209481,20072404.03434,27.006,0.0,0.0,0.0,96514.95,1554681600,205.08853870890005,11.634,0.0,577500.0,24038451.806949995,12364818.943749998
15,2019,16,56102193.06300003,154329.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9884651162790743,99698.59543269231,798693.0,1.510945557962319,0.0,0.0,313.51237805999995,20072404.03434,25.179000000000002,0.0,0.0,0.0,83100.15000000001,1555286400,97.5082154277,5.418,0.0,641812.5,14352546.862149995,12364818.943749998
16,2019,17,53522514.769499965,147155.4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9884651162790743,99698.59543269231,758835.0,1.510945557962319,0.0,0.0,261.33163028700005,20072404.03434,20.8425,0.0,0.0,0.0,78486.45,1555891200,83.78459612775,3.465,0.0,522375.0,14617656.624549996,12364818.943749998
17,2019,18,49595583.16650007,136479.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9884651162790743,99698.59543269231,472164.0,1.510945557962319,0.0,0.0,141.688356243,25807376.61558004,10.153500000000001,0.0,0.0,0.0,70913.85,1556496000,0.0,0.0,0.0,84000.0,3616805.4124999996,3532805.4124999996
18,2019,19,42497605.752000004,117608.40000000001,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9098372093023297,99698.59543269231,470631.0,1.5058823108517863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61869.15,1557100800,0.0,0.0,0.0,42000.0,42000.0,0.0
19,2019,20,45385737.547499985,125359.5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9098372093023297,99698.59543269231,530418.0,1.5058823108517863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66533.25,1557705600,0.0,0.0,0.0,42000.0,42000.0,0.0
20,2019,21,45787518.13649999,126229.95000000001,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9098372093023297,99698.59543269231,513555.0,1.5058823108517863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60265.8,1558310400,0.0,0.0,0.0,42000.0,42000.0,0.0
21,2019,22,46130274.30899997,128097.90000000001,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9098372093023297,99698.59543269231,499758.0,1.5058823108517863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60493.65,1558915200,0.0,0.0,0.0,84000.0,84000.0,0.0
22,2019,23,47373923.06849999,130891.95000000001,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9210697674418645,99698.59543269231,453768.0,1.4996965587414905,0.0,0.0,0.0,0.0,0.0,85785.0,0.0,0.0,63819.0,1559520000,0.0,0.0,0.0,26250.0,26250.0,0.0
23,2019,24,47580378.55199999,131037.90000000001,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9210697674418645,99698.59543269231,378651.0,1.4996965587414905,0.0,0.0,0.0,0.0,0.0,81585.0,0.0,0.0,65235.450000000004,1560124800,0.0,0.0,0.0,26250.0,26250.0,0.0
24,2019,25,46851319.504499994,130356.45000000001,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9210697674418645,99698.59543269231,386316.0,1.4996965587414905,0.0,0.0,0.0,0.0,0.0,83685.0,0.0,0.0,62133.75,1560729600,0.0,0.0,0.0,39375.0,39375.0,0.0
25,2019,26,46248933.51749998,128493.75,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9210697674418645,99698.59543269231,369817.3067733909,1.4996965587414905,0.0,0.0,0.0,0.0,0.0,165270.0,0.0,0.0,61081.65,1561334400,0.0,0.0,0.0,26250.0,26250.0,0.0
26,2019,27,45910321.065,126985.95000000001,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9098372093023297,99698.59543269231,340610.67386987695,1.4722613247029654,0.0,0.0,0.0,0.0,0.0,184170.0,0.0,0.0,62498.100000000006,1561939200,0.0,0.0,15476.491935483871,42000.0,57476.49193548387,0.0
27,2019,28,46879679.70000002,129257.1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9098372093023297,99698.59543269231,344460.496212673,1.4722613247029654,0.0,0.0,0.0,0.0,0.0,184170.0,0.0,0.0,59412.15,1562544000,0.0,0.0,15476.491935483871,42000.0,57476.49193548387,0.0
28,2019,29,46447160.056499965,128016.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9098372093023297,99698.59543269231,345463.67931758874,1.4722613247029654,0.0,0.0,0.0,0.0,0.0,265755.0,0.0,0.0,58057.65,1563148800,0.0,0.0,15476.491935483871,21000.0,36476.49193548387,0.0
29,2019,30,45545038.99050008,125102.25,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9098372093023297,99698.59543269231,345643.73782359925,1.4722613247029654,0.0,0.0,0.0,0.0,0.0,307755.0,0.0,0.0,60467.4,1563753600,0.0,0.0,15476.491935483871,42000.0,57476.49193548387,0.0
30,2019,31,45828373.647000015,125644.05,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9098372093023297,99698.59543269231,362660.6956773542,1.4722613247029654,0.0,0.0,0.0,0.0,0.0,109585.00140000001,0.0,0.0,58887.15,1564358400,0.0,0.0,6632.782258064516,13125.0,19757.782258064515,0.0
31,2019,32,46180807.48050001,127083.6,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8986046511627948,99698.59543269231,368897.0077426705,1.4976964010993885,0.0,0.0,0.0,0.0,0.0,30100.0014,0.0,0.0,59395.350000000006,1564963200,0.0,0.0,0.0,26250.0,26250.0,0.0
32,2019,33,48863738.112000026,134755.95,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8986046511627948,99698.59543269231,375504.8691061037,1.4976964010993885,0.0,0.0,0.0,0.0,0.0,2100.0,0.0,0.0,60403.350000000006,1565568000,0.0,0.0,0.0,26250.0,26250.0,0.0
33,2019,34,47269759.00499999,130580.1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8986046511627948,99698.59543269231,400613.02744423563,1.4976964010993885,0.0,0.0,0.0,0.0,0.0,12250.000350000002,0.0,0.0,61635.0,1566172800,359.16061548674986,29.841000000000005,0.0,26250.0,2455998.2241290295,0.0
34,2019,35,49555107.10500006,136179.75,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8986046511627948,99698.59543269231,442892.47949841723,1.4976964010993885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61528.950000000004,1566777600,359.79818568907496,29.3685,0.0,26250.0,3781413.37171613,374428.78199999995
35,2019,36,51982737.99600003,142768.5,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9210697674418645,99698.59543269231,525819.0,1.5351210825411346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62400.450000000004,1567382400,323.41243995269997,24.339000000000002,0.0,21000.0,25442078.48975484,2621001.4739999995
36,2019,37,68873074.65150003,189090.30000000002,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9210697674418645,99698.59543269231,768033.0,1.5351210825411346,0.0,0.0,558.3933653550001,37868232.78671997,42.294000000000004,0.0,0.0,0.0,83314.35,1567987200,609.4813576634999,52.3005,0.0,21000.0,24903064.818799995,2621001.4739999995
37,2019,38,70505388.77550001,193647.30000000002,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9210697674418645,99698.59543269231,996450.0,1.5351210825411346,0.0,0.0,588.4436398260001,18934116.39336,43.638000000000005,0.0,0.0,0.0,90272.7,1568592000,503.58277680900005,40.477500000000006,0.0,233625.0,22357094.051599994,2621001.4739999995
38,2019,39,65132318.19150002,178333.05000000002,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9210697674418645,99698.59543269231,1014846.0,1.5351210825411346,0.0,0.0,475.41909406425003,19257843.23752258,38.545500000000004,0.0,0.0,0.0,88601.1,1569196800,373.02619223729994,25.998,0.0,481687.5,53211148.356450014,32407628.685250018
39,2019,40,60006025.81050006,165183.9,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9210697674418645,99698.59543269231,979587.0,1.5351210825411346,0.0,0.0,401.2217961149999,20067160.347929034,34.072500000000005,0.0,0.0,0.0,82879.65000000001,1569801600,468.61146619140004,33.694500000000005,0.0,582389.0625,41824360.41432421,20855380.40583066
40,2019,41,59637796.270500004,164180.1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9323023255813995,99698.59543269231,916734.0,1.5053660875403676,0.0,0.0,468.3815618055001,20067160.347929034,38.944500000000005,0.0,0.0,0.0,83566.35,1570406400,306.97944978435004,21.262500000000003,0.0,1244151.5625,44890575.30367743,22696130.97217743
41,2019,42,57930762.3615,159722.85,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9323023255813995,99698.59543269231,881475.0,1.5053660875403676,0.0,0.0,330.4558725509999,20067160.347929034,28.308000000000003,0.0,0.0,0.0,80339.7,1571011200,939.625944438825,77.7525,0.0,1756715.625,68476902.22529036,22696130.97217743
42,2019,43,55576825.00649996,152134.5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9323023255813995,99698.59543269231,866145.0,1.5053660875403676,0.0,0.0,273.9367995000001,20067160.347929034,21.808500000000002,0.0,0.0,0.0,77307.3,1571616000,685.35205241265,48.321000000000005,0.0,2965528.125,71441642.27109681,22696130.97217743
43,2019,44,52992172.274999976,145383.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9323023255813995,99698.59543269231,806358.0,1.5053660875403676,0.0,0.0,366.36138454965,19575977.32196129,28.623,0.0,0.0,0.0,81662.7,1572220800,672.6236094905252,45.464999999999996,0.0,3276039.375,53049388.90450163,23085883.73513711
44,2019,45,50367878.20049999,138751.2,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9323023255813995,99698.59543269231,764967.0,1.5000255368182722,0.0,0.0,454.58992071149993,19494113.484300002,38.27250000000001,0.0,0.0,0.0,76221.6,1572825600,946.3805621791499,70.52850000000001,0.0,1718075.625,69604773.6736484,23605554.085750006
45,2019,46,54698274.22499996,149410.80000000002,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9323023255813995,99698.59543269231,855414.0,1.5000255368182722,0.0,0.0,388.40259276,19494113.484300002,32.550000000000004,0.0,0.0,0.0,77608.65000000001,1573430400,832.24062336555,63.57750000000001,0.0,3916513.125,60859929.6006484,23605554.085750006
46,2019,47,56055933.38099999,153491.1,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9323023255813995,99698.59543269231,916734.0,1.5000255368182722,0.0,0.0,403.5641605695,19494113.484300002,33.0015,0.0,0.0,0.0,79374.75,1574035200,623.0016428265002,45.465,0.0,4699235.625,44188937.7986,23605554.085750006
47,2019,48,58039938.02249994,158555.25,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9323023255813995,99698.59543269231,1010247.0,1.5000255368182722,0.0,0.0,294.27745095,19174115.14662,23.079,0.0,0.0,0.0,86076.90000000001,1574640000,571.5074298717002,41.548500000000004,0.0,4854832.5,38736642.607103236,21585316.270112913
48,2019,49,56847955.961999975,155033.55000000002,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8986046511627948,99698.59543269231,1054704.0,1.5000255368182722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83465.55,1575244800,478.55142038864994,35.3325,0.0,8629057.5,30115294.705887098,9463889.376290325
49,2019,50,59259533.47649997,162123.15,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8986046511627948,99698.59543269231,1071567.0,1.5000255368182722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82931.1,1575849600,488.733921711,35.353500000000004,0.0,5720505.0,30974229.332854845,9463889.376290325
50,2019,51,59420224.54199998,162762.6,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8986046511627948,99698.59543269231,1063902.0,1.5000255368182722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84189.0,1576454400,663.9439432626002,51.2715,0.0,6863863.125,29426525.224306457,9463889.376290325
51,2019,52,61476697.71600004,166535.25,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8986046511627948,99698.59543269231,973455.0,1.5000255368182722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77974.05,1577059200,232.44876091500004,15.582,0.0,8396836.875,29311933.20096775,12167857.769516129
52,2020,1,57254697.6855,154925.4,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9210697674418645,83633.23301886795,585606.0,1.5036471576632804,0.0,0.0,0.0,0.0,0.0,1057612.5,0.0,0.0,68143.95,1577664000,857.3997883815,64.36500000000001,0.0,5100342.45,27980728.45213419,9030274.07540323
53,2020,2,57384154.33800002,155940.75,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9210697674418645,83633.23301886795,697515.0,1.5036471576632804,0.0,0.0,0.0,0.0,0.0,844452.0,0.0,0.0,80293.5,1578268800,1084.6768178547,80.1675,0.0,2371705.0035,36764600.10184604,12642383.705564521
54,2020,3,61161744.50399996,167085.45,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9210697674418645,83633.23301886795,909069.0,1.5036471576632804,0.0,0.0,374.2286882775,14819163.103161294,29.925,1235682.0,0.0,0.0,89598.6,1578873600,994.4654366734501,77.57400000000001,0.0,2150064.0,35847582.42568545,12642383.705564521
55,2020,4,68402146.92150006,187254.9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9210697674418645,83633.23301886795,1077699.0,1.5036471576632804,0.0,0.0,367.34024566049993,17289023.620354842,28.098000000000003,538272.0,0.0,0.0,94542.0,1579478400,1067.1113222878503,81.5325,0.0,2541882.0,39038400.92313242,12642383.705564521
56,2020,5,78930010.71900006,214536.0,1,533280434.76855,357119029.90049994,131122625.41350001,19644473.037,886424.7000000001,461401.5,25565.4,0.9210697674418645,83633.23301886795,1307649.0,1.5036471576632804,0.0,0.0,389.8471969098,12359580.9001218,30.2505,0.0,0.0,0.0,102331.95,1580083200,673.2943742710501,51.2295,0.0,5183829.0,33965076.945229724,12067650.988506678
57,2020,6,81963276.49650009,222696.6,2,533280434.76855,357119029.90049994,131122625.41350001,19644473.037,886424.7000000001,461401.5,25565.4,0.9098372093023297,83633.23301886795,1477812.0,1.5194734733511774,0.0,0.0,392.86359386400005,21647253.624982756,31.521,0.0,0.0,0.0,104743.8,1580688000,602.0555432325,44.415000000000006,0.0,5962110.0,41660557.97617242,10630819.19586207
58,2020,7,79901998.04999995,217080.15000000002,2,533280434.76855,357119029.90049994,131122625.41350001,19644473.037,886424.7000000001,461401.5,25565.4,0.9098372093023297,83633.23301886795,1448685.0,1.5194734733511774,0.0,0.0,390.62607374699996,21647253.624982756,30.7755,63000.0,0.0,0.0,99680.7,1581292800,691.8126949125001,50.305499999999995,0.0,6251514.7734375,39379081.856851295,10630819.19586207
59,2020,8,72766669.6365,196481.25,2,533280434.76855,357119029.90049994,131122625.41350001,19644473.037,886424.7000000001,461401.5,25565.4,0.9098372093023297,83633.23301886795,1293852.0,1.5194734733511774,0.0,0.0,361.37816436434997,21647253.624982756,28.9065,136426.5,0.0,0.0,97282.5,1581897600,605.28969389385,42.5145,0.0,3513510.0,36641077.083413795,10630819.19586207
60,2020,9,71263465.3815,190207.5,2,593627919.684975,398455017.555,143904116.52750003,23000789.427000005,979659.4500000001,504816.9,29911.350000000002,0.9098372093023297,83633.23301886795,1203405.0,1.5194734733511774,0.0,0.0,273.350820603,20062562.266236376,21.535500000000003,42000.0,0.0,0.0,92367.45,1582502400,664.16473479615,46.840500000000006,0.0,5094264.65625,37718163.46385123,11075380.803745829
61,2020,10,75321799.6125,199185.0,3,593627919.684975,398455017.555,143904116.52750003,23000789.427000005,979659.4500000001,504816.9,29911.350000000002,0.8873720930232599,83633.23301886795,1203405.0,1.5165898361899877,0.0,0.0,228.06313893300006,21108828.227516133,18.238500000000002,0.0,0.0,0.0,88318.65000000001,1583107200,460.44028042005004,30.345000000000002,0.0,3318844.375,36603685.59230645,13742750.451048387
62,2020,11,98297408.16000003,254967.30000000002,3,593627919.684975,398455017.555,143904116.52750003,23000789.427000005,979659.4500000001,504816.9,29911.350000000002,0.8873720930232599,83633.23301886795,1178877.0,1.5165898361899877,0.0,0.0,416.106174813,21108828.227516133,30.723000000000003,0.0,0.0,0.0,103843.95000000001,1583712000,610.45077635955,41.8425,0.0,4278176.875,39826332.40430645,13742750.451048387
63,2020,12,226890875.66249993,580588.05,3,593627919.684975,398455017.555,143904116.52750003,23000789.427000005,979659.4500000001,504816.9,29911.350000000002,0.8873720930232599,83633.23301886795,1326045.0,1.5165898361899877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180161.1,1584316800,602.9784952243501,44.205000000000005,0.0,4620595.0,34807768.123822585,13742750.451048387
64,2020,13,201249378.28800017,490829.85000000003,3,593627919.684975,398455017.555,143904116.52750003,23000789.427000005,979659.4500000001,504816.9,29911.350000000002,0.8873720930232599,83633.23301886795,1131354.0,1.5165898361899877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175999.95,1584921600,246.82620667319995,16.422,0.0,2956244.375,25621712.05613608,13742750.451048387
65,2020,14,138975870.8100001,325400.25,3,1209154943.4693751,792793966.6710001,289490292.7875,69291877.179,1824810.75,974304.4500000001,82013.40000000001,0.8873720930232599,83633.23301886795,910602.0,1.5165898361899877,0.0,0.0,304.6897410900001,15560192.538145158,23.730000000000004,0.0,0.0,0.0,144938.85,1585526400,648.8281111000503,45.74850000000001,0.0,1049409.375,22747136.76839571,7355295.341088711
66,2020,15,70866965.77800006,157614.45,4,1209154943.4693751,792793966.6710001,289490292.7875,69291877.179,1824810.75,974304.4500000001,82013.40000000001,0.86490697674419,83633.23301886795,622398.0,1.691296865649839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93548.7,1586131200,551.3476002804,38.2935,0.0,851694.375,39638853.11016986,16216749.958500016
